[2026-05-28 09:09:58.861] [INIT].... → Crawl4AI 0.8.6 
[2026-05-28 09:10:01.015] [FETCH]... ↓ https://wallstreetcn.com/articles/3773196                                                            | ✓ | ⏱: 2.11s 
[2026-06-04 10:59:48.733] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773733                                                            | ✓ | ⏱: 0.00s 
[2026-06-04 10:59:48.734] [COMPLETE] ● https://wallstreetcn.com/articles/3773733                                                            | ✓ | ⏱: 0.93s 
[2026-06-04 10:59:49.298] [FETCH]... ↓ https://wallstreetcn.com/articles/3773737                                                            | ✓ | ⏱: 0.91s 
[2026-06-04 10:59:49.311] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773737                                                            | ✓ | ⏱: 0.01s 
[2026-06-04 10:59:49.318] [COMPLETE] ● https://wallstreetcn.com/articles/3773737                                                            | ✓ | ⏱: 0.93s 
[2026-06-04 10:59:49.648] [FETCH]... ↓ https://wallstreetcn.com/articles/3773733                                                            | ✓ | ⏱: 0.90s 
[2026-06-04 10:59:49.671] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773733                                                            | ✓ | ⏱: 0.02s 
[2026-06-04 10:59:49.677] [COMPLETE] ● https://wallstreetcn.com/articles/3773733                                                            | ✓ | ⏱: 0.93s 
[2026-06-04 10:59:51.660] [FETCH]... ↓ https://wallstreetcn.com/articles/3773784                                                            | ✓ | ⏱: 1.00s 
[2026-06-04 10:59:51.668] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773784                                                            | ✓ | ⏱: 0.01s 
[2026-06-04 10:59:51.670] [COMPLETE] ● https://wallstreetcn.com/articles/3773784                                                            | ✓ | ⏱: 1.01s 
[2026-06-04 10:59:52.571] [FETCH]... ↓ https://wallstreetcn.com/articles/3773784                                                            | ✓ | ⏱: 0.89s 
[2026-06-04 10:59:52.585] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773784                                                            | ✓ | ⏱: 0.01s 
[2026-06-04 10:59:52.592] [COMPLETE] ● https://wallstreetcn.com/articles/3773784                                                            | ✓ | ⏱: 0.91s 
[2026-06-04 10:59:54.406] [FETCH]... ↓ https://wallstreetcn.com/articles/3773737                                                            | ✓ | ⏱: 0.91s 
[2026-06-04 10:59:54.413] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773737                                                            | ✓ | ⏱: 0.00s 
[2026-06-04 10:59:54.415] [COMPLETE] ● https://wallstreetcn.com/articles/3773737                                                            | ✓ | ⏱: 0.92s 
[2026-06-04 10:59:55.385] [FETCH]... ↓ https://wallstreetcn.com/articles/3773737                                                            | ✓ | ⏱: 0.96s 
[2026-06-04 10:59:55.411] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773737                                                            | ✓ | ⏱: 0.02s 
[2026-06-04 10:59:55.418] [COMPLETE] ● https://wallstreetcn.com/articles/3773737                                                            | ✓ | ⏱: 0.99s 
[2026-06-04 10:59:56.585] [FETCH]... ↓ https://wallstreetcn.com/articles/3773784                                                            | ✓ | ⏱: 0.88s 
[2026-06-04 10:59:56.591] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773784                                                            | ✓ | ⏱: 0.00s 
[2026-06-04 10:59:56.593] [COMPLETE] ● https://wallstreetcn.com/articles/3773784                                                            | ✓ | ⏱: 0.89s 
[2026-06-04 10:59:57.327] [FETCH]... ↓ https://wallstreetcn.com/articles/3773790                                                            | ✓ | ⏱: 0.99s 
[2026-06-04 10:59:57.334] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773790                                                            | ✓ | ⏱: 0.01s 
[2026-06-04 10:59:57.336] [COMPLETE] ● https://wallstreetcn.com/articles/3773790                                                            | ✓ | ⏱: 0.99s 
[2026-06-04 10:59:57.537] [FETCH]... ↓ https://wallstreetcn.com/articles/3773784                                                            | ✓ | ⏱: 0.93s 
[2026-06-04 10:59:57.565] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773784                                                            | ✓ | ⏱: 0.03s 
[2026-06-04 10:59:57.572] [COMPLETE] ● https://wallstreetcn.com/articles/3773784                                                            | ✓ | ⏱: 0.97s 
[2026-06-04 10:59:58.261] [FETCH]... ↓ https://wallstreetcn.com/articles/3773790                                                            | ✓ | ⏱: 0.91s 
[2026-06-04 10:59:58.285] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773790                                                            | ✓ | ⏱: 0.02s 
[2026-06-04 10:59:58.292] [COMPLETE] ● https://wallstreetcn.com/articles/3773790                                                            | ✓ | ⏱: 0.94s 
[2026-06-04 10:59:59.675] [FETCH]... ↓ https://wallstreetcn.com/articles/3773813                                                            | ✓ | ⏱: 0.95s 
[2026-06-04 10:59:59.682] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773813                                                            | ✓ | ⏱: 0.00s 
[2026-06-04 10:59:59.684] [COMPLETE] ● https://wallstreetcn.com/articles/3773813                                                            | ✓ | ⏱: 0.96s 
[2026-06-04 11:00:00.000] [FETCH]... ↓ https://wallstreetcn.com/articles/3773812                                                            | ✓ | ⏱: 0.92s 
[2026-06-04 11:00:00.008] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773812                                                            | ✓ | ⏱: 0.01s 
[2026-06-04 11:00:00.009] [COMPLETE] ● https://wallstreetcn.com/articles/3773812                                                            | ✓ | ⏱: 0.93s 
[2026-06-04 11:00:00.624] [FETCH]... ↓ https://wallstreetcn.com/articles/3773813                                                            | ✓ | ⏱: 0.93s 
[2026-06-04 11:00:00.648] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773813                                                            | ✓ | ⏱: 0.02s 
[2026-06-04 11:00:00.656] [COMPLETE] ● https://wallstreetcn.com/articles/3773813                                                            | ✓ | ⏱: 0.96s 
[2026-06-04 11:00:00.958] [FETCH]... ↓ https://wallstreetcn.com/articles/3773812                                                            | ✓ | ⏱: 0.94s 
[2026-06-04 11:00:00.987] [SCRAPE].. ◆ https://wallstreetcn.com/articles/3773812                                                            | ✓ | ⏱: 0.03s 
[2026-06-04 11:00:00.994] [COMPLETE] ● https://wallstreetcn.com/articles/3773812                                                            | ✓ | ⏱: 0.97s 
[2026-06-04 11:00:02.445] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33297512                                                  | ✓ | ⏱: 1.77s 
[2026-06-04 11:00:02.451] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33297512                                                  | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:02.454] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33297512                                                  | ✓ | ⏱: 1.78s 
[2026-06-04 11:00:04.192] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33297512                                                  | ✓ | ⏱: 1.73s 
[2026-06-04 11:00:04.237] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33297512                                                  | ✓ | ⏱: 0.04s 
[2026-06-04 11:00:04.246] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33297512                                                  | ✓ | ⏱: 1.78s 
[2026-06-04 11:00:05.599] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33302306                                                  | ✓ | ⏱: 1.73s 
[2026-06-04 11:00:05.604] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33302306                                                  | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:05.607] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33302306                                                  | ✓ | ⏱: 1.74s 
[2026-06-04 11:00:07.353] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33302306                                                  | ✓ | ⏱: 1.73s 
[2026-06-04 11:00:07.395] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33302306                                                  | ✓ | ⏱: 0.04s 
[2026-06-04 11:00:07.403] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33302306                                                  | ✓ | ⏱: 1.78s 
[2026-06-04 11:00:08.022] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33261655                                                  | ✓ | ⏱: 1.76s 
[2026-06-04 11:00:08.027] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33261655                                                  | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:08.028] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33261655                                                  | ✓ | ⏱: 1.77s 
[2026-06-04 11:00:09.784] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33261655                                                  | ✓ | ⏱: 1.74s 
[2026-06-04 11:00:09.841] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33261655                                                  | ✓ | ⏱: 0.06s 
[2026-06-04 11:00:09.850] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33261655                                                  | ✓ | ⏱: 1.81s 
[2026-06-04 11:00:10.932] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33299669                                                  | ✓ | ⏱: 1.84s 
[2026-06-04 11:00:10.938] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33299669                                                  | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:10.940] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33299669                                                  | ✓ | ⏱: 1.84s 
[2026-06-04 11:00:12.927] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33299658                                                  | ✓ | ⏱: 1.72s 
[2026-06-04 11:00:12.933] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33299658                                                  | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:12.935] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33299658                                                  | ✓ | ⏱: 1.73s 
[2026-06-04 11:00:13.014] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33299669                                                  | ✓ | ⏱: 2.06s 
[2026-06-04 11:00:13.064] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33299669                                                  | ✓ | ⏱: 0.05s 
[2026-06-04 11:00:13.072] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33299669                                                  | ✓ | ⏱: 2.12s 
[2026-06-04 11:00:14.937] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33299658                                                  | ✓ | ⏱: 1.99s 
[2026-06-04 11:00:14.974] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33299658                                                  | ✓ | ⏱: 0.04s 
[2026-06-04 11:00:14.982] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33299658                                                  | ✓ | ⏱: 2.04s 
[2026-06-04 11:00:15.082] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33255030                                                  | ✓ | ⏱: 1.77s 
[2026-06-04 11:00:15.088] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33255030                                                  | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:15.090] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33255030                                                  | ✓ | ⏱: 1.78s 
[2026-06-04 11:00:16.905] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33255030                                                  | ✓ | ⏱: 1.80s 
[2026-06-04 11:00:16.952] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33255030                                                  | ✓ | ⏱: 0.04s 
[2026-06-04 11:00:16.961] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33255030                                                  | ✓ | ⏱: 1.86s 
[2026-06-04 11:00:18.160] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33302141                                                  | ✓ | ⏱: 1.74s 
[2026-06-04 11:00:18.165] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33302141                                                  | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:18.167] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33302141                                                  | ✓ | ⏱: 1.75s 
[2026-06-04 11:00:19.921] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33302141                                                  | ✓ | ⏱: 1.74s 
[2026-06-04 11:00:19.979] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33302141                                                  | ✓ | ⏱: 0.06s 
[2026-06-04 11:00:19.988] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33302141                                                  | ✓ | ⏱: 1.81s 
[2026-06-04 11:00:20.655] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33302529                                                  | ✓ | ⏱: 1.73s 
[2026-06-04 11:00:20.660] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33302529                                                  | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:20.663] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33302529                                                  | ✓ | ⏱: 1.73s 
[2026-06-04 11:00:22.398] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33302529                                                  | ✓ | ⏱: 1.72s 
[2026-06-04 11:00:22.435] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33302529                                                  | ✓ | ⏱: 0.04s 
[2026-06-04 11:00:22.444] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33302529                                                  | ✓ | ⏱: 1.77s 
[2026-06-04 11:00:24.168] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33301470                                                  | ✓ | ⏱: 1.78s 
[2026-06-04 11:00:24.174] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33301470                                                  | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:24.176] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33301470                                                  | ✓ | ⏱: 1.79s 
[2026-06-04 11:00:25.919] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33301470                                                  | ✓ | ⏱: 1.73s 
[2026-06-04 11:00:25.963] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33301470                                                  | ✓ | ⏱: 0.04s 
[2026-06-04 11:00:25.971] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33301470                                                  | ✓ | ⏱: 1.78s 
[2026-06-04 11:00:26.726] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33298057                                                  | ✓ | ⏱: 1.73s 
[2026-06-04 11:00:26.732] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33298057                                                  | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:26.733] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33298057                                                  | ✓ | ⏱: 1.74s 
[2026-06-04 11:00:28.722] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33298057                                                  | ✓ | ⏱: 1.98s 
[2026-06-04 11:00:28.769] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33298057                                                  | ✓ | ⏱: 0.05s 
[2026-06-04 11:00:28.778] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33298057                                                  | ✓ | ⏱: 2.03s 
[2026-06-04 11:00:28.919] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33297733                                                  | ✓ | ⏱: 1.77s 
[2026-06-04 11:00:28.924] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33297733                                                  | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:28.927] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33297733                                                  | ✓ | ⏱: 1.77s 
[2026-06-04 11:00:30.861] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33297733                                                  | ✓ | ⏱: 1.92s 
[2026-06-04 11:00:30.911] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33297733                                                  | ✓ | ⏱: 0.05s 
[2026-06-04 11:00:30.918] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33297733                                                  | ✓ | ⏱: 1.98s 
[2026-06-04 11:00:31.167] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33303813                                                  | ✓ | ⏱: 1.78s 
[2026-06-04 11:00:31.173] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33303813                                                  | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:31.175] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33303813                                                  | ✓ | ⏱: 1.78s 
[2026-06-04 11:00:33.261] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33303813                                                  | ✓ | ⏱: 2.07s 
[2026-06-04 11:00:33.335] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33303813                                                  | ✓ | ⏱: 0.07s 
[2026-06-04 11:00:33.345] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33303813                                                  | ✓ | ⏱: 2.16s 
[2026-06-04 11:00:33.420] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33298044                                                  | ✓ | ⏱: 1.86s 
[2026-06-04 11:00:33.424] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33298044                                                  | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:33.427] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33298044                                                  | ✓ | ⏱: 1.87s 
[2026-06-04 11:00:35.217] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33298044                                                  | ✓ | ⏱: 1.78s 
[2026-06-04 11:00:35.261] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33298044                                                  | ✓ | ⏱: 0.04s 
[2026-06-04 11:00:35.269] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33298044                                                  | ✓ | ⏱: 1.83s 
[2026-06-04 11:00:35.331] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33298753                                                  | ✓ | ⏱: 1.96s 
[2026-06-04 11:00:35.336] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33298753                                                  | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:35.338] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33298753                                                  | ✓ | ⏱: 1.97s 
[2026-06-04 11:00:37.042] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33298753                                                  | ✓ | ⏱: 1.69s 
[2026-06-04 11:00:37.078] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33298753                                                  | ✓ | ⏱: 0.03s 
[2026-06-04 11:00:37.087] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33298753                                                  | ✓ | ⏱: 1.74s 
[2026-06-04 11:00:37.850] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33297530                                                  | ✓ | ⏱: 1.71s 
[2026-06-04 11:00:37.855] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33297530                                                  | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:37.857] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33297530                                                  | ✓ | ⏱: 1.72s 
[2026-06-04 11:00:39.857] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33297530                                                  | ✓ | ⏱: 1.99s 
[2026-06-04 11:00:39.890] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33297530                                                  | ✓ | ⏱: 0.03s 
[2026-06-04 11:00:39.900] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33297530                                                  | ✓ | ⏱: 2.03s 
[2026-06-04 11:00:39.961] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33302155                                                  | ✓ | ⏱: 1.77s 
[2026-06-04 11:00:39.967] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33302155                                                  | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:39.969] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33302155                                                  | ✓ | ⏱: 1.78s 
[2026-06-04 11:00:41.702] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33302155                                                  | ✓ | ⏱: 1.72s 
[2026-06-04 11:00:41.737] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33302155                                                  | ✓ | ⏱: 0.03s 
[2026-06-04 11:00:41.745] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33302155                                                  | ✓ | ⏱: 1.76s 
[2026-06-04 11:00:42.381] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33300815                                                  | ✓ | ⏱: 1.74s 
[2026-06-04 11:00:42.386] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33300815                                                  | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:42.388] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33300815                                                  | ✓ | ⏱: 1.75s 
[2026-06-04 11:00:44.120] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33300815                                                  | ✓ | ⏱: 1.72s 
[2026-06-04 11:00:44.158] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33300815                                                  | ✓ | ⏱: 0.04s 
[2026-06-04 11:00:44.167] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33300815                                                  | ✓ | ⏱: 1.77s 
[2026-06-04 11:00:45.003] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33298749                                                  | ✓ | ⏱: 1.70s 
[2026-06-04 11:00:45.008] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33298749                                                  | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:45.010] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33298749                                                  | ✓ | ⏱: 1.71s 
[2026-06-04 11:00:47.037] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33281165                                                  | ✓ | ⏱: 1.73s 
[2026-06-04 11:00:47.043] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33281165                                                  | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:47.045] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33281165                                                  | ✓ | ⏱: 1.74s 
[2026-06-04 11:00:47.064] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33298749                                                  | ✓ | ⏱: 2.04s 
[2026-06-04 11:00:47.102] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33298749                                                  | ✓ | ⏱: 0.04s 
[2026-06-04 11:00:47.111] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33298749                                                  | ✓ | ⏱: 2.09s 
[2026-06-04 11:00:48.797] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33281165                                                  | ✓ | ⏱: 1.74s 
[2026-06-04 11:00:48.827] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33281165                                                  | ✓ | ⏱: 0.03s 
[2026-06-04 11:00:48.835] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33281165                                                  | ✓ | ⏱: 1.78s 
[2026-06-04 11:00:49.615] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33299344                                                  | ✓ | ⏱: 1.74s 
[2026-06-04 11:00:49.621] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33299344                                                  | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:49.623] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33299344                                                  | ✓ | ⏱: 1.75s 
[2026-06-04 11:00:50.949] [FETCH]... ↓ https://www.cls.cn/detail/2390171                                                                    | ✓ | ⏱: 2.10s 
[2026-06-04 11:00:50.956] [SCRAPE].. ◆ https://www.cls.cn/detail/2390171                                                                    | ✓ | ⏱: 0.01s 
[2026-06-04 11:00:50.958] [COMPLETE] ● https://www.cls.cn/detail/2390171                                                                    | ✓ | ⏱: 2.10s 
[2026-06-04 11:00:51.384] [FETCH]... ↓ https://www.thepaper.cn/newsDetail_forward_33299344                                                  | ✓ | ⏱: 1.75s 
[2026-06-04 11:00:51.420] [SCRAPE].. ◆ https://www.thepaper.cn/newsDetail_forward_33299344                                                  | ✓ | ⏱: 0.04s 
[2026-06-04 11:00:51.429] [COMPLETE] ● https://www.thepaper.cn/newsDetail_forward_33299344                                                  | ✓ | ⏱: 1.79s 
[2026-06-04 11:00:52.929] [FETCH]... ↓ https://www.cls.cn/detail/2389959                                                                    | ✓ | ⏱: 1.58s 
[2026-06-04 11:00:52.935] [SCRAPE].. ◆ https://www.cls.cn/detail/2389959                                                                    | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:52.937] [COMPLETE] ● https://www.cls.cn/detail/2389959                                                                    | ✓ | ⏱: 1.59s 
[2026-06-04 11:00:54.795] [FETCH]... ↓ https://www.cls.cn/detail/2390108                                                                    | ✓ | ⏱: 1.57s 
[2026-06-04 11:00:54.800] [SCRAPE].. ◆ https://www.cls.cn/detail/2390108                                                                    | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:54.802] [COMPLETE] ● https://www.cls.cn/detail/2390108                                                                    | ✓ | ⏱: 1.57s 
[2026-06-04 11:00:55.465] [FETCH]... ↓ https://www.cls.cn/detail/2390139                                                                    | ✓ | ⏱: 1.60s 
[2026-06-04 11:00:55.472] [SCRAPE].. ◆ https://www.cls.cn/detail/2390139                                                                    | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:55.474] [COMPLETE] ● https://www.cls.cn/detail/2390139                                                                    | ✓ | ⏱: 1.61s 
[2026-06-04 11:00:58.021] [FETCH]... ↓ https://www.cls.cn/detail/2389992                                                                    | ✓ | ⏱: 1.56s 
[2026-06-04 11:00:58.028] [SCRAPE].. ◆ https://www.cls.cn/detail/2389992                                                                    | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:58.030] [COMPLETE] ● https://www.cls.cn/detail/2389992                                                                    | ✓ | ⏱: 1.57s 
[2026-06-04 11:00:58.909] [FETCH]... ↓ https://www.cls.cn/detail/2390039                                                                    | ✓ | ⏱: 1.61s 
[2026-06-04 11:00:58.915] [SCRAPE].. ◆ https://www.cls.cn/detail/2390039                                                                    | ✓ | ⏱: 0.00s 
[2026-06-04 11:00:58.917] [COMPLETE] ● https://www.cls.cn/detail/2390039                                                                    | ✓ | ⏱: 1.62s 
[2026-06-04 11:01:01.558] [FETCH]... ↓ https://www.cls.cn/detail/2389957                                                                    | ✓ | ⏱: 1.61s 
[2026-06-04 11:01:01.564] [SCRAPE].. ◆ https://www.cls.cn/detail/2389957                                                                    | ✓ | ⏱: 0.00s 
[2026-06-04 11:01:01.566] [COMPLETE] ● https://www.cls.cn/detail/2389957                                                                    | ✓ | ⏱: 1.62s 
[2026-06-04 11:01:02.286] [FETCH]... ↓ https://www.cls.cn/detail/2390155                                                                    | ✓ | ⏱: 1.59s 
[2026-06-04 11:01:02.293] [SCRAPE].. ◆ https://www.cls.cn/detail/2390155                                                                    | ✓ | ⏱: 0.01s 
[2026-06-04 11:01:02.296] [COMPLETE] ● https://www.cls.cn/detail/2390155                                                                    | ✓ | ⏱: 1.60s 
[2026-06-04 11:01:05.064] [FETCH]... ↓ https://www.cls.cn/detail/2390227                                                                    | ✓ | ⏱: 1.61s 
[2026-06-04 11:01:05.071] [SCRAPE].. ◆ https://www.cls.cn/detail/2390227                                                                    | ✓ | ⏱: 0.01s 
[2026-06-04 11:01:05.074] [COMPLETE] ● https://www.cls.cn/detail/2390227                                                                    | ✓ | ⏱: 1.62s 
[2026-06-04 11:01:05.667] [FETCH]... ↓ https://www.cls.cn/detail/2390224                                                                    | ✓ | ⏱: 1.60s 
[2026-06-04 11:01:05.676] [SCRAPE].. ◆ https://www.cls.cn/detail/2390224                                                                    | ✓ | ⏱: 0.01s 
[2026-06-04 11:01:05.679] [COMPLETE] ● https://www.cls.cn/detail/2390224                                                                    | ✓ | ⏱: 1.61s 
[2026-06-04 11:01:07.993] [FETCH]... ↓ https://www.cls.cn/detail/2390246                                                                    | ✓ | ⏱: 1.64s 
[2026-06-04 11:01:08.000] [SCRAPE].. ◆ https://www.cls.cn/detail/2390246                                                                    | ✓ | ⏱: 0.01s 
